S. No.,area_type,availability,location,size,society,total_sqft,bath,balcony,price,bedrooms
3955,Super built-up  Area,18-Feb,Thanisandra,2 BHK,Bhmesy ,1296,2.0,2.0,7200000,2.0
3956,Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,925,2.0,3.0,3800000,2.0
3957,Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Mahla T,1023,2.0,2.0,4200000,2.0
3958,Built-up  Area,Ready To Move,Seshadripuram,2 BHK,,600,3.0,2.0,7500000,2.0
3959,Super built-up  Area,18-May,Thanisandra,2 BHK,SLityee,1020,2.0,1.0,4450000,2.0
3960,Super built-up  Area,17-Jul,Choodasandra,3 BHK,Sainei ,1530,3.0,2.0,7700000,3.0
3961,Super built-up  Area,Ready To Move,Gubbalala,3 BHK,,1650,3.0,2.0,7100000,3.0
3962,Built-up  Area,Ready To Move,Vijaya Bank Layout,3 BHK,Dhise P,1605,2.0,3.0,8500000,3.0
3963,Super built-up  Area,Ready To Move,Hosakerehalli,2 BHK,,1925,2.0,1.0,5000000,2.0
3964,Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1190,2.0,2.0,5066000,2.0
3965,Super built-up  Area,Ready To Move,Jakkur,3 BHK,,1374,3.0,2.0,6800000,3.0
3966,Built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,SNpalaj,1140,2.0,2.0,6500000,2.0
3967,Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soionar,1725,3.0,2.0,13000000,3.0
3968,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,5000000,3.0
3969,Super built-up  Area,Ready To Move,Kannamangala,3 BHK,Sonue A,1574,3.0,1.0,9334000,3.0
3970,Built-up  Area,Ready To Move,Sanjay nagar,1 BHK,,965,1.0,1.0,3200000,1.0
3971,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Valdsic,1550,3.0,2.0,8300000,3.0
3972,Super built-up  Area,Ready To Move,Akshayanagara West,2 BHK,Ajomaa ,1205,2.0,2.0,6000000,2.0
3973,Super built-up  Area,Ready To Move,Kambipura,3 BHK,Prrtht ,1082,2.0,1.0,5500000,3.0
3974,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Ayaya A,1215,2.0,2.0,5285000,3.0
3975,Super built-up  Area,Ready To Move,Hebbal,4 BHK,Prersis,2483,5.0,2.0,23000000,4.0
3976,Plot  Area,18-Jul,Prasanth Extension,2 Bedroom,,1200,3.0,1.0,4614000,2.0
3977,Super built-up  Area,Ready To Move,Chikkathoguru,1 BHK,,1500,1.0,1.0,1950000,1.0
3978,Plot  Area,18-May,1st Block Koramangala,4 Bedroom,,2360,4.0,2.0,60000000,4.0
3979,Super built-up  Area,Ready To Move,Ardendale,4 BHK,AWharde,3198,4.0,,25000000,4.0
3980,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1452,3.0,3.0,6098000,3.0
3981,Super built-up  Area,18-Apr,Electronic City Phase II,3 BHK,MJtroty,1329,2.0,2.0,4100000,3.0
3982,Super built-up  Area,Ready To Move,Doctors Layout,2 BHK,,1125,2.0,1.0,4400000,2.0
3983,Plot  Area,Ready To Move,Anand nagar,2 Bedroom,,1200,2.0,0.0,7000000,2.0
3984,Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1350,3.0,3.0,3997000,3.0
3985,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Niiewem,1125 - 1500,3.0,0.0,5119000,3.0
3986,Super built-up  Area,19-Oct,Hebbal,3 BHK,SNontle,2600,3.0,2.0,19500000,3.0
3987,Plot  Area,Ready To Move,West of Chord Road,2 Bedroom,,1200,2.0,1.0,16000000,2.0
3988,Built-up  Area,18-Dec,Electronic City Phase II,3 BHK,Sryalan,1220,3.0,1.0,3522999,3.0
3989,Super built-up  Area,Ready To Move,Pai Layout,2 BHK,Kencyes,1255,2.0,1.0,8000000,2.0
3990,Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904,3.0,3.0,15500000,3.0
3991,Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,,1329,2.0,2.0,7000000,2.0
3992,Plot  Area,Ready To Move,Chandapura,2 Bedroom,,1200,2.0,1.0,6000000,2.0
3993,Super built-up  Area,Ready To Move,Murugeshpalya,3 BHK,IBaveen,2135,3.0,2.0,16000000,3.0
3994,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,,2770,4.0,3.0,31500000,3.0
3995,Built-up  Area,19-Dec,"Hoodi Circle, ",1 BHK,,813,1.0,1.0,3900000,1.0
3996,Plot  Area,Ready To Move,Junnasandra,4 Bedroom,,3884,4.0,3.0,24000000,4.0
3997,Plot  Area,Ready To Move,Doddaballapur,3 Bedroom,,3876,3.0,1.0,30000000,3.0
3998,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PrncyRe,800,2.0,2.0,3000000,2.0
3999,Plot  Area,Ready To Move,Handenahalli,4 Bedroom,,4750,2.0,1.0,12000000,4.0
4000,Super built-up  Area,Ready To Move,Hormavu,3 BHK,Ocock R,1500,3.0,3.0,7000000,3.0
4001,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1880,3.0,2.0,9500000,3.0
4002,Super built-up  Area,Ready To Move,Electronic City,3 BHK,Pa II E,1440,2.0,2.0,5500000,3.0
4003,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1575,3.0,,9000000,3.0
4004,Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,,1630,2.0,2.0,9778000,3.0
4005,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,,1180,3.0,1.0,5500000,3.0
4006,Built-up  Area,Ready To Move,Nagadevanahalli,2 BHK,,1090,2.0,1.0,3600000,2.0
4007,Super built-up  Area,Ready To Move,NGR Layout,2 BHK,,1020,2.0,2.0,4845000,2.0
4008,Built-up  Area,Ready To Move,"Sarjapur Road, ",4 BHK,,2425,4.0,3.0,17300000,4.0
4009,Super built-up  Area,18-Mar,Varthur,2 BHK,Hirio L,1097,2.0,1.0,3382000,2.0
4010,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Sithand,1070,2.0,1.0,5000000,2.0
4011,Super built-up  Area,Ready To Move,Kumaraswami Layout,2 BHK,Mania G,1000,2.0,1.0,5800000,2.0
4012,Plot  Area,Ready To Move,Hoodi,8 Bedroom,,1120,8.0,,15000000,8.0
4013,Super built-up  Area,18-Apr,manyata tech park,2 BHK,,1150,2.0,1.0,5600000,2.0
4014,Built-up  Area,Ready To Move,Frazer Town,3 BHK,Clint E,1900,4.0,2.0,14500000,3.0
4015,Super built-up  Area,Ready To Move,Divya Unnathi Layout,2 BHK,,1141,2.0,2.0,4900000,2.0
4016,Built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsen,937,2.0,1.0,4400000,2.0
4017,Built-up  Area,Ready To Move,Green Glen Layout,2 BHK,Blisera,1075,2.0,1.0,6000000,2.0
4018,Super built-up  Area,18-Feb,Panathur,2 BHK,,1000,2.0,1.0,6530000,2.0
4019,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1450,3.0,,7741000,3.0
4020,Plot  Area,Ready To Move,Yelachenahalli,5 Bedroom,,897,2.0,1.0,8500000,5.0
4021,Super built-up  Area,Ready To Move,Ashwathnagar,2 BHK,GMentAp,936,2.0,2.0,4300000,2.0
4022,Built-up  Area,Ready To Move,Gopalkrishna Nagar,2 BHK,,1280,2.0,1.0,7500000,2.0
4023,Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,,1050,2.0,3.0,4500000,2.0
4024,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Asintas,1350,2.0,1.0,8600000,2.0
4025,Super built-up  Area,Ready To Move,Mallasandra,2 BHK,GMilse ,1325,2.0,1.0,7000000,2.0
4026,Super built-up  Area,18-Apr,Devanahalli,2 BHK,Oznuean,1174,2.0,1.0,5900000,2.0
4027,Super built-up  Area,Ready To Move,Hosur Road,3 BHK,Saageat,1890,3.0,2.0,16200000,3.0
4028,Super built-up  Area,Ready To Move,Wilson Garden,1 BHK,,735,1.0,1.0,7500000,1.0
4029,Built-up  Area,Ready To Move,Sarvabhouma Nagar,1 BHK,,500,1.0,0.0,2400000,1.0
4030,Super built-up  Area,Ready To Move,Gottigere,3 BHK,,1304,3.0,3.0,8000000,3.0
4031,Built-up  Area,Ready To Move,Yelahanka,3 BHK,Niareum,1653,3.0,2.0,12000000,3.0
4032,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,5200000,3.0
4033,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Kaiew L,1212,3.0,1.0,4200000,2.0
4034,Built-up  Area,Ready To Move,Hoysalanagar,2 BHK,Mamesi ,1100,2.0,1.0,5000000,2.0
4035,Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,PhestOn,3436,6.0,3.0,50000000,4.0
4036,Plot  Area,Ready To Move,SMV layout,3 Bedroom,,1200,4.0,0.0,14500000,3.0
4037,Super built-up  Area,Ready To Move,Billekahalli,2 BHK,,1140,2.0,2.0,5000000,2.0
4038,Plot  Area,Ready To Move,Roopena Agrahara,2 Bedroom,,1200,2.0,1.0,10000000,2.0
4039,Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1532,3.0,2.0,8300000,3.0
4040,Plot  Area,Ready To Move,Doddaballapur,3 Bedroom,Vahid O,2776,4.0,2.0,19500000,3.0
4041,Super built-up  Area,Ready To Move,Padmanabhanagar,3 BHK,Naasyak,1531,2.0,0.0,7500000,3.0
4042,Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,,1270,2.0,2.0,5079000,3.0
4043,Super built-up  Area,18-Dec,Uttarahalli,2 BHK,DSera S,1325,2.0,1.0,5300000,2.0
4044,Plot  Area,Ready To Move,CQAL LAYOUT C BLOCK,3 Bedroom,,1200,3.0,1.0,16000000,3.0
4045,Super built-up  Area,17-Apr,Electronic City,3 BHK,Sie 2is,1156,2.0,2.0,4400000,3.0
4046,Plot  Area,Ready To Move,R.T. Nagar,4 Bedroom,,2000,4.0,2.0,32000000,4.0
4047,Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1260,2.0,2.0,7000000,2.0
4048,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1934,2.0,0.0,9000000,2.0
4049,Super built-up  Area,Ready To Move,Malleshpalya,2 BHK,,1060,2.0,1.0,4000000,2.0
4050,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMonymp,1476,3.0,1.0,9500000,3.0
4051,Super built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Rallaa ,1185,2.0,1.0,8500000,2.0
4052,Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,Aconyit,1265,2.0,1.0,8200000,3.0
4053,Built-up  Area,18-May,"Near Electronic City, ",4 BHK,,3200,5.0,1.0,15000000,4.0
4054,Super built-up  Area,Ready To Move,Virat Nagar,2 BHK,,1196,2.0,2.0,5681000,2.0
4055,Built-up  Area,Ready To Move,EPIP Zone,2 BHK,,1280,2.0,1.0,6900000,2.0
4056,Plot  Area,Ready To Move,Marathahalli,4 Bedroom,,800,4.0,2.0,8600000,4.0
4057,Built-up  Area,Ready To Move,Hulimavu,2 BHK,VisicCl,1175,2.0,,4500000,2.0
4058,Built-up  Area,Ready To Move,Kacharakanahalli,3 BHK,,1850,3.0,3.0,9800000,3.0
4059,Plot  Area,Ready To Move,Indira Nagar,4 Bedroom,,2400,4.0,2.0,52500000,4.0
4060,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Pae 1ov,1195,2.0,1.0,7000000,2.0
4061,Super built-up  Area,Ready To Move,Ulsoor,3 BHK,,2000,3.0,3.0,18500000,3.0
4062,Carpet  Area,Ready To Move,Veerannapalya,7 BHK,,600,4.0,0.0,10000000,7.0
4063,Plot  Area,18-Feb,Hebbal Kempapura,4 Bedroom,,800,5.0,3.0,15500000,4.0
4064,Super built-up  Area,Ready To Move,Hosur Road,2 BHK,Collsrn,1180,2.0,2.0,3650000,2.0
4065,Super built-up  Area,Ready To Move,Jakkur,2 BHK,Elidet ,1050,2.0,1.0,4987000,2.0
4066,Built-up  Area,18-Dec,Electronic City,3 BHK,,1400,2.0,1.0,4044000,3.0
4067,Plot  Area,17-Dec,Bagalakunte,4 Bedroom,,2360,4.0,2.0,15000000,4.0
4068,Super built-up  Area,Ready To Move,Banashankari stage 2,2 BHK,,1030,2.0,1.0,7725000,2.0
4069,Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,2 BHK,,1512,1.0,2.0,6501000,2.0
4070,Built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2.0,1.0,4800000,2.0
4071,Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1252,3.0,3.0,6100000,3.0
4072,Built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soionar,1485,3.0,2.0,11500000,3.0
4073,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Courf T,1124,2.0,2.0,5500000,3.0
4074,Plot  Area,Ready To Move,TC Palaya,6 Bedroom,,2400,6.0,3.0,37000000,6.0
4075,Built-up  Area,Ready To Move,Indira Nagar,3 BHK,,1407,3.0,1.0,12000000,3.0
4076,Super built-up  Area,19-Mar,Hennur Road,3 BHK,Puachal,1482,2.0,3.0,9700000,3.0
4077,Super built-up  Area,Ready To Move,Sector 7 HSR Layout,2 BHK,,1163,2.0,1.0,9886000,2.0
4078,Super built-up  Area,Ready To Move,Jalahalli,3 BHK,BrardCo,1570,3.0,2.0,14000000,3.0
4079,Super built-up  Area,18-Feb,Whitefield,3 BHK,BrlisCo,3480,4.0,,28400000,3.0
4080,Super built-up  Area,19-Sep,Chandapura,1 BHK,SuVue S,520,1.0,1.0,1404000,1.0
4081,Super built-up  Area,Ready To Move,OLd Gurappanapalya,3 BHK,SoliaMa,2000,3.0,2.0,16000000,3.0
4082,Super built-up  Area,Ready To Move,Prithvi Layout,2 BHK,Prlmsge,1352,2.0,2.0,7500000,2.0
4083,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152,2.0,1.0,6500000,2.0
4084,Built-up  Area,20-Dec,"ECC Road, Whitefield, ",3 BHK,,1575,3.0,2.0,9300000,3.0
4085,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1965,4.0,2.0,12500000,3.0
4086,Built-up  Area,Ready To Move,Ramanjaneyanagar,3 BHK,Siite E,1300,2.0,2.0,7000000,3.0
4087,Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,,1,4.0,,12000000,4.0
4088,Super built-up  Area,18-Apr,Marathahalli,2 BHK,,957,2.0,1.0,4700000,2.0
4089,Super built-up  Area,Ready To Move,Hoskote,3 BHK,Thiced ,1740,3.0,3.0,6000000,3.0
4090,Plot  Area,Ready To Move,Kanakpura Road,5 Bedroom,,1080,6.0,3.0,6500000,5.0
4091,Super built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,,1060,2.0,0.0,3500000,2.0
4092,Carpet  Area,Ready To Move,Chikkadunnasandra,2 BHK,,975,2.0,2.0,5000000,2.0
4093,Super built-up  Area,18-May,Ramamurthy Nagar,2 BHK,,1150,2.0,2.0,5100000,2.0
4094,Super built-up  Area,Ready To Move,Whitefield,3 BHK,,1738,2.0,3.0,7900000,3.0
4095,Super built-up  Area,18-May,Bommanahalli,3 BHK,,1250,3.0,2.0,5500000,3.0
4096,Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Dhncyud,1788,3.0,2.0,9000000,3.0
4097,Super built-up  Area,19-Dec,Kanakapura,2 BHK,GoityEt,1151,2.0,1.0,5900000,2.0
4098,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Evood S,1300,2.0,2.0,6000000,3.0
4099,Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,,1150,2.0,1.0,5280000,2.0
4100,Super built-up  Area,Ready To Move,Akshya Nagar,2 BHK,,1380,2.0,1.0,7500000,2.0
4101,Super built-up  Area,19-Jun,Hebbal,3 BHK,Raard B,1645,3.0,2.0,11700000,3.0
4102,Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,,1141,2.0,1.0,4590000,2.0
4103,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1175,2.0,2.0,8250000,2.0
4104,Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,,1355,2.0,1.0,6100000,3.0
4105,Built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1150,2.0,0.0,7000000,2.0
4106,Super built-up  Area,18-May,Indranagar  100ft road defence colony,5 BHK,,5800,5.0,,8000000,5.0
4107,Built-up  Area,Ready To Move,Canara Bank Colony,2 BHK,,1000,2.0,2.0,4500000,2.0
4108,Super built-up  Area,20-Jan,Balagere,2 BHK,Soresea,1007,2.0,1.0,6500000,2.0
4109,Super built-up  Area,Ready To Move,Wajid layout thanisandra,4 BHK,,3000,5.0,2.0,10000000,4.0
4110,Super built-up  Area,Ready To Move,Kothanur,3 BHK,,1436,3.0,3.0,7000000,3.0
4111,Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,4000,4.0,3.0,22000000,4.0
4112,Built-up  Area,Ready To Move,Somasundara Palya,3 BHK,ManceEl,2372,3.0,,14000000,3.0
4113,Plot  Area,Ready To Move,R.T. Nagar,6 Bedroom,,1500,6.0,,24000000,6.0
4114,Super built-up  Area,18-Jan,BTM Layout,3 BHK,,167Sq. Meter,3.0,2.0,1000000,3.0
4115,Plot  Area,Ready To Move,Rajaji Nagar,2 Bedroom,,1200,2.0,0.0,15000000,2.0
4116,Super built-up  Area,18-Mar,Rayasandra,2 BHK,,1016,2.0,1.0,5800000,2.0
4117,Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,,1100,2.0,2.0,4800000,2.0
4118,Super built-up  Area,Ready To Move,B Channasandra,2 BHK,PrncyRe,1080,2.0,1.0,4500000,2.0
4119,Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2.0,1.0,6000000,2.0
4120,Super built-up  Area,Ready To Move,Kadubeesanahalli,3 BHK,PrpiaSr,1532,3.0,1.0,11500000,3.0
4121,Super built-up  Area,Ready To Move,Hennur,2 BHK,MDncyhi,1040,2.0,2.0,4212000,2.0
4122,Plot  Area,Ready To Move,Laxmi Sagar Layout,3 Bedroom,Pudgear,3100,3.0,3.0,25000000,3.0
4123,Super built-up  Area,21-Jun,Tumkur Road,2 BHK,Coowsri,1076 - 1199,2.0,0.0,4890500,2.0
4124,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2.0,2.0,5160000,3.0
4125,Plot  Area,Ready To Move,Rajaji Nagar,2 Bedroom,,1160,1.0,0.0,16300000,2.0
4126,Super built-up  Area,Ready To Move,ITPL,4 BHK,,3262,5.0,2.0,20500000,4.0
4127,Plot  Area,Ready To Move,Achins Road,7 Bedroom,,2100,7.0,0.0,41000000,7.0
4128,Built-up  Area,Ready To Move,Uvce Layout,2 BHK,,1190,2.0,2.0,10000000,2.0
4129,Super built-up  Area,Ready To Move,Panduranga Nagar,3 BHK,SApusnu,1827,3.0,3.0,10000000,3.0
4130,Super built-up  Area,Ready To Move,HRBR Layout,2 BHK,Srayatr,1210,2.0,1.0,7500000,2.0
4131,Super built-up  Area,Ready To Move,New Thippasandra,3 BHK,Srmitev,1500,3.0,3.0,9500000,3.0
4132,Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2.0,2.0,5350000,2.0
4133,Super built-up  Area,21-Mar,Hebbal,2 BHK,Oztarol,1251,2.0,1.0,8873000,2.0
4134,Super built-up  Area,Ready To Move,HSR Layout,3 BHK,RotatHa,1600,2.0,2.0,11500000,3.0
4135,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,6550000,2.0
4136,Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1820,3.0,2.0,9300000,3.0
4137,Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4.0,2.0,15900000,3.0
4138,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Dehts H,1510,2.0,3.0,5900000,3.0
4139,Super built-up  Area,Ready To Move,Hoodi,3 BHK,SMaxyay,1925,2.0,3.0,11400000,3.0
4140,Plot  Area,Ready To Move,Hennur Road,3 Bedroom,LGapeon,2651,2.0,2.0,22500000,3.0
4141,Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4.0,2.0,14700000,3.0
4142,Super built-up  Area,Ready To Move,Kumaraswami Layout,2 BHK,GancyRe,1000,2.0,2.0,3600000,2.0
4143,Plot  Area,Ready To Move,KR Puram,3 Bedroom,Salle F,1752,3.0,2.0,14500000,3.0
4144,Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,ArrdsOr,960,2.0,3.0,5600000,2.0
4145,Super built-up  Area,Ready To Move,Gattigere,2 BHK,Vaw 2il,1180,2.0,2.0,6300000,2.0
4146,Built-up  Area,Ready To Move,Benson Town,3 BHK,Fants A,2270,3.0,1.0,18000000,3.0
4147,Built-up  Area,Ready To Move,NRI Layout,2 Bedroom,,650,2.0,0.0,5900000,2.0
4148,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,,1200,2.0,1.0,7500000,2.0
4149,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,2.0,1.0,4600000,3.0
4150,Super built-up  Area,18-Jan,Roopena Agrahara,3 BHK,,1300,3.0,2.0,4700000,3.0
4151,Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1157,2.0,0.0,4000000,2.0
4152,Super built-up  Area,21-Jan,Kanakpura Road,3 BHK,PrarePa,1300,3.0,2.0,6900000,3.0
4153,Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,Pridsi ,1305,2.0,1.0,5900000,3.0
4154,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoisoCa,2006,4.0,2.0,19600000,3.0
4155,Super built-up  Area,Ready To Move,Jakkur,2 BHK,BrdgeNo,1290,2.0,1.0,8000000,2.0
4156,Super built-up  Area,Ready To Move,Hoskote,2 BHK,VRrtsa ,1170,2.0,3.0,4500000,2.0
4157,Plot  Area,Ready To Move,Cottonpet,4 Bedroom,,971,2.0,2.0,13500000,4.0
4158,Super built-up  Area,Ready To Move,Yelachenahalli,2 BHK,Coona A,1400,2.0,3.0,7800000,2.0
4159,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1200,2.0,2.0,7500000,2.0
4160,Built-up  Area,Ready To Move,Kamakshipalya,3 BHK,Viaxy G,1155,2.0,0.0,6000000,3.0
4161,Built-up  Area,Ready To Move,Hormavu,3 BHK,Cadel C,1725,3.0,2.0,8500000,3.0
4162,Super built-up  Area,21-Oct,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,4000000,2.0
4163,Built-up  Area,Ready To Move,Yemlur,4 Bedroom,Epllan ,7000,5.0,,205000000,4.0
4164,Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1112,2.0,1.0,8800000,2.0
4165,Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,ManceEl,1178,2.0,,7800000,2.0
4166,Super built-up  Area,20-Jan,Badavala Nagar,2 BHK,DNncasa,1274,2.0,1.0,8100000,2.0
4167,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Vabow R,915,2.0,1.0,3200000,2.0
4168,Plot  Area,Ready To Move,6th Phase JP Nagar,8 Bedroom,,1650,6.0,2.0,13500000,8.0
4169,Super built-up  Area,Ready To Move,Hosur Road,1 BHK,Collsrn,760,1.0,2.0,2128000,1.0
4170,Built-up  Area,Ready To Move,Maragondanahalli,3 BHK,ArnzaFi,1540,3.0,2.0,6800000,3.0
4171,Super built-up  Area,Ready To Move,P&T Layout,2 BHK,,1206,2.0,3.0,3850000,2.0
4172,Super built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,1645,3.0,2.0,9500000,3.0
4173,Plot  Area,Ready To Move,Canara Bank Layout,4 Bedroom,,1200,4.0,2.0,17000000,4.0
4174,Plot  Area,Ready To Move,singapura paradise,4 Bedroom,,1200,4.0,1.0,14000000,4.0
4175,Super built-up  Area,Ready To Move,Nehru Nagar,4 BHK,Undge T,2342,3.0,2.0,11500000,4.0
4176,Super built-up  Area,Ready To Move,Kannur,3 BHK,,1200,2.0,1.0,5500000,3.0
4177,Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,MDoseim,1056,2.0,2.0,3300000,2.0
4178,Plot  Area,Ready To Move,Raja Rajeshwari Nagar,8 Bedroom,,4800,8.0,,22500000,8.0
4179,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1450,3.0,3.0,5430000,3.0
4180,Super built-up  Area,18-Apr,Thirumenahalli,2 BHK,MNtha A,1161,2.0,2.0,3669000,2.0
4181,Super built-up  Area,Ready To Move,Dollars Colony,2 BHK,Koowsis,1097,2.0,3.0,6500000,2.0
4182,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Gaent R,850,2.0,2.0,3500000,2.0
4183,Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soionar,1715,3.0,2.0,11500000,3.0
4184,Super built-up  Area,Ready To Move,Basavangudi,3 BHK,Shntsad,2300,3.0,,31700000,3.0
4185,Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1200,2.0,1.0,5900000,2.0
4186,Super built-up  Area,18-Oct,8th Phase JP Nagar,2 BHK,,1080,2.0,2.0,3800000,2.0
4187,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,,1200,2.0,1.0,5030000,2.0
4188,Plot  Area,Ready To Move,4th Block Koramangala,4 Bedroom,,2400,4.0,0.0,55000000,4.0
4189,Super built-up  Area,Ready To Move,Banashankari,3 BHK,Sriseva,1400,2.0,1.0,7800000,3.0
4190,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Vastael,1500,4.0,3.0,20000000,4.0
4191,Carpet  Area,20-Dec,Kanakpura Road,1 BHK,Roiti A,381 - 535,1.0,0.0,1969500,1.0
4192,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1230,2.0,1.0,5700000,2.0
4193,Built-up  Area,Ready To Move,Kalyan nagar,3 BHK,SSonsvi,1640,3.0,3.0,8800000,3.0
4194,Super built-up  Area,Ready To Move,Banashankari,3 BHK,Bregae ,1700,3.0,2.0,12500000,3.0
4195,Super built-up  Area,Ready To Move,Bommasandra,3 BHK,Niara S,1478,2.0,,4400000,3.0
4196,Super built-up  Area,Ready To Move,Defence Colony,4 BHK,Masta A,6600,4.0,,98600000,4.0
4197,Super built-up  Area,Ready To Move,Banashankari,2 BHK,,1020,2.0,2.0,4079000,2.0
4198,Plot  Area,Ready To Move,Nagarbhavi,2 Bedroom,,1200,2.0,1.0,15000000,2.0
4199,Built-up  Area,Ready To Move,Yelahanka,3 BHK,,1275,2.0,2.0,9500000,3.0
4200,Built-up  Area,Ready To Move,Cambridge Layout,4 Bedroom,,1600,3.0,1.0,16500000,4.0
4201,Super built-up  Area,Ready To Move,Kanakapura,2 BHK,SPavenc,1110,2.0,2.0,3885000,2.0
4202,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Baveles,1627.86,3.0,2.0,8800000,3.0
4203,Built-up  Area,Ready To Move,Byagadadhenahalli,2 BHK,VBavaai,620,2.0,1.0,2200000,2.0
4204,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,3004,4.0,2.0,28500000,4.0
